	Neutrophils	Monocytes	Lymphocytes	Basophils.Eosinophils
D1457-32	0.51184005	0.085392885	0.3421482	0.06061882
D1461-20	0.45420352	0.06700733	0.4256446	0.053144503
D1469-93	0.5906307	0.090004385	0.26508483	0.054279987
D1476-72	0.67263967	0.09389045	0.18053035	0.052939564
D1486-42	0.5343256	0.079331875	0.34080902	0.045533508
D1510-67	0.5216964	0.07426584	0.3644936	0.03954416
D1511-64	0.60626394	0.14432459	0.2056133	0.04379821
D1512-61	0.560389	0.10422004	0.28359538	0.051795542
D1520-37	0.53232914	0.094947726	0.32975236	0.042970765
D1533-95	0.49037084	0.07959319	0.38048467	0.04955131
D1550-44	0.5454414	0.074755654	0.33683658	0.042966377
D1565-96	0.42875183	0.06519131	0.47240806	0.03364873
D1575-66	0.680659	0.09100995	0.19500943	0.033321586
D1617-37	0.6030024	0.074683614	0.27846953	0.043844406
D1621-25	0.5541213	0.07868654	0.31279406	0.054398075
D1650-35	0.50018305	0.08976384	0.36067906	0.049374104
D1673-63	0.7274882	0.07660568	0.15453155	0.041374523
D1684-30	0.7389076	0.09025836	0.12844075	0.042393286
D1698-85	0.5614192	0.0951958	0.2991495	0.04423548
D1704-67	0.6183495	0.08861522	0.24973732	0.043297995
D1735-71	0.50905424	0.105191536	0.3474892	0.038264953
D1748-32	0.61733085	0.09395844	0.24592268	0.042787984
D1751-23	0.48444283	0.061634526	0.41734764	0.036575053
D1804-58	0.6258367	0.06275523	0.27849177	0.032916296
D1809-43	0.54880184	0.07586091	0.33340457	0.041932676
D1813-31	0.5809348	0.11891154	0.24428768	0.055865914
D1821-07	0.533827	0.075071685	0.33574298	0.05535835
D1853-08	0.50611806	0.10235942	0.32479024	0.06673232
